Tick PD1 PD2 PD3
0845 191 000 001
0846 191 000 001
0847 190 000 000
0848 190 000 000
0849 190 000 000
0850 190 000 000
0851 190 000 000
0852 190 000 000
0853 190 000 000
0854 190 000 001
0855 189 000 001
0856 189 000 002
0857 190 000 003
0858 190 000 004
0859 190 000 005
0860 190 000 006
0861 190 000 008
0862 190 000 011
0863 190 000 016
0864 190 000 024
0865 190 000 034
0866 190 000 048
0867 190 000 066
0868 190 000 086
0869 190 000 106
0870 190 000 126
0871 190 000 146
0872 190 000 161
0873 190 000 173
0874 190 000 178
0875 190 000 180
0876 190 000 182
0877 190 000 183
0878 190 000 184
0879 190 000 185
0880 190 000 186
0881 190 000 186
0882 190 000 186
0883 190 000 187
0884 190 000 187
0885 190 000 187
0886 190 000 187
0887 191 000 187
0888 191 000 187
0889 191 000 187
0890 191 000 186
0891 191 000 186
0892 191 000 186
0893 191 000 185
0894 190 000 185
0895 190 000 184
0896 189 000 184
0897 188 000 183
0898 188 000 182
0899 187 000 182
0900 186 000 181
0901 184 000 180
0902 182 000 180
0903 178 000 179
0904 173 000 179
0905 168 000 178
0906 159 000 177
0907 148 001 177
0908 135 002 177
0909 120 004 178
0910 105 007 178
0911 090 013 179
0912 075 021 180
0913 060 033 181
0914 047 048 181
0915 035 065 182
0916 026 084 182
0917 019 104 183
0918 013 121 183
0919 009 137 184
0920 007 149 184
0921 005 159 184
0922 004 167 184
0923 003 173 184
0924 002 177 184
0925 001 179 184
0926 001 181 184
0927 000 182 184
0928 000 183 183
0929 000 184 183
0930 000 185 183
0931 000 186 182
0932 000 187 183
0933 000 187 183
0934 000 188 184
0935 000 187 184
0936 000 187 185
0937 000 187 186
0938 000 187 187
0939 000 186 189
0940 000 186 190
0941 000 186 191
0942 000 186 192
0943 000 186 193
0944 000 185 194
0945 000 185 195
0946 001 185 195
0947 001 185 194
0948 002 185 193
0949 002 184 192
0950 003 184 189
0951 004 184 186
0952 006 184 181
0953 009 184 171
0954 013 184 158
0955 018 184 140
0956 025 184 118
0957 035 184 095
0958 047 184 071
0959 060 184 049
0960 075 184 031
0961 090 184 018
0962 105 184 009
0963 120 184 005
0964 134 185 004
0965 146 185 002
0966 157 185 002
0967 165 185 002
0968 172 186 002
0969 177 186 002
0970 181 186 003
0971 183 186 003
0972 185 187 004
0973 186 187 004
0974 187 188 005
0975 189 188 005
0976 189 189 005
0977 190 189 005
0978 190 189 005
0979 191 190 005
0980 191 190 004
0981 190 191 004
0982 190 191 004
0983 190 191 003
0984 189 192 003
0985 189 191 002
0986 187 191 002
0987 186 191 001
0988 185 190 001
0989 183 190 000
0990 179 189 000
0991 175 187 000
0992 168 185 000
0993 159 183 000
0994 149 180 000
0995 137 177 000
0996 123 170 001
0997 107 160 001
0998 091 147 002
0999 075 130 003
1000 061 111 003
1001 048 091 003
1002 037 071 004
1003 027 053 004
1004 020 038 004
1005 014 026 004
1006 010 016 004
1007 008 009 004
1008 006 004 004
1009 005 001 003
1010 004 000 003
1011 003 000 003
1012 002 000 002
1013 001 000 002
1014 001 000 001
1015 000 000 001
1016 000 000 000
1017 000 000 000
1018 000 000 000
1019 000 000 000
1020 000 000 000
1021 000 000 000
1022 000 000 000
1023 000 000 000
1024 000 000 000
1025 000 000 000
1026 000 000 001
1027 000 000 001
1028 000 000 002
1029 000 000 003
1030 000 000 003
1031 000 000 003
1032 000 000 004
1033 000 000 004
1034 000 000 004
1035 000 000 004
1036 000 000 004
1037 000 000 004
1038 000 000 003
1039 000 000 003
1040 000 000 002
1041 000 000 002
1042 000 000 002
1043 000 002 001
1044 000 004 001
1045 000 007 000
1046 000 012 000
1047 000 021 000
1048 000 032 000
1049 000 047 000
1050 000 065 000
1051 000 086 000
1052 000 107 000
1053 000 127 000
1054 000 144 001
1055 000 158 001
1056 000 168 002
1057 000 175 003
1058 000 180 003
1059 000 183 004
1060 000 185 004
1061 000 187 004
1062 000 188 005
1063 000 189 005
1064 000 189 005
1065 000 189 005
1066 000 190 004
1067 000 190 004
1068 000 190 004
1069 000 190 003
1070 000 190 003
1071 000 189 002
1072 000 189 002
1073 000 188 001
1074 000 188 001
1075 000 188 000
1076 000 187 000
1077 000 187 000
1078 000 186 000
1079 000 186 000
1080 000 185 000
1081 000 184 000
1082 000 184 000
1083 000 184 001
1084 000 183 001
1085 000 183 002
1086 000 182 003
1087 000 182 003
1088 000 182 004
1089 000 182 004
1090 000 182 004
1091 000 181 004
1092 000 181 005
1093 000 181 005
1094 000 181 004
1095 000 180 004
1096 000 180 004
1097 000 180 004
1098 000 180 003
1099 000 179 003
1100 000 179 002
1101 000 179 002
1102 000 179 001
1103 000 179 001
1104 000 179 000
1105 000 179 000
1106 000 178 000
1107 000 178 000
1108 000 178 000
1109 000 178 000
1110 000 178 000
1111 000 178 000
1112 000 178 000
1113 000 178 001
1114 000 178 002
1115 000 178 002
1116 000 178 003
1117 000 178 003
1118 000 178 004
1119 000 177 004
1120 000 177 004
1121 001 177 004
1122 004 177 004
1123 007 177 004
1124 013 177 004
1125 019 178 004
1126 027 178 003
1127 037 178 003
1128 047 178 003
1129 060 178 002
1130 073 178 002
1131 086 178 001
1132 099 178 001
1133 112 179 000
1134 125 178 000
1135 137 179 000
1136 149 179 000
1137 158 178 000
1138 166 179 000
1139 172 178 000
1140 177 179 000
1141 180 179 001
1142 181 179 001
1143 183 179 002
1144 184 179 003
1145 185 179 004
1146 186 179 005
1147 187 179 006
1148 188 179 007
1149 189 179 009
1150 189 179 012
1151 189 179 018
1152 189 179 028
1153 189 179 041
1154 190 179 058
1155 190 179 079
1156 189 179 102
1157 189 179 126
1158 189 179 149
1159 190 179 167
1160 190 179 181
1161 190 179 192
1162 189 180 198
1163 189 179 202
1164 189 179 203
1165 189 179 204
1166 188 179 203
1167 188 180 204
1168 188 180 203
1169 188 180 203
1170 188 180 203
1171 188 180 204
1172 188 180 203
1173 187 180 203
1174 187 180 204
1175 187 180 203
1176 187 180 203
1177 187 180 203
1178 186 180 203
1179 186 180 203
1180 186 179 203
1181 185 179 203
1182 185 179 203
1183 185 179 203
1184 184 179 203
1185 184 179 203
1186 184 179 204
1187 184 179 203
1188 183 179 203
1189 183 179 203
1190 183 180 203
1191 183 180 203
1192 183 179 203
1193 183 179 199
1194 183 179 193
1195 183 179 183
1196 183 179 168
1197 182 179 145
1198 182 179 116
1199 182 179 087
1200 182 179 061
1201 182 179 041
1202 182 180 026
1203 182 180 016
1204 182 180 011
